schedule,threads,chunk,time_ms,gflops,bw_gbs,ai
static,2,1,0.1430660,0.2795911,3.3550937,0.0833333
static,2,1,0.1412928,0.2831000,3.3972005,0.0833333
static,2,1,0.1411140,0.2834588,3.4015053,0.0833333
static,2,1,0.1440793,0.2776248,3.3314981,0.0833333
static,2,1,0.1404844,0.2847291,3.4167489,0.0833333
static,2,1,0.1421776,0.2813383,3.3760600,0.0833333
static,2,1,0.1444593,0.2768946,3.3227350,0.0833333
static,2,1,0.1404136,0.2848726,3.4184713,0.0833333
static,2,1,0.1412164,0.2832531,3.3990376,0.0833333
static,2,1,0.1401808,0.2853458,3.4241491,0.0833333
static,2,1,0.1429841,0.2797514,3.3570168,0.0833333
static,2,1,0.1405459,0.2846046,3.4152546,0.0833333
static,2,8,0.0835080,0.4789962,5.7479544,0.0833333
static,2,8,0.0781622,0.5117565,6.1410776,0.0833333
static,2,8,0.0778735,0.5136538,6.1638451,0.0833333
static,2,8,0.0777561,0.5144289,6.1731474,0.0833333
static,2,8,0.0781696,0.5117077,6.1404922,0.0833333
static,2,8,0.0775233,0.5159740,6.1916876,0.0833333
static,2,8,0.0784975,0.5095707,6.1148480,0.0833333
static,2,8,0.0782926,0.5109042,6.1308505,0.0833333
static,2,8,0.0776164,0.5153548,6.1842582,0.0833333
static,2,8,0.0783037,0.5108313,6.1299754,0.0833333
static,2,8,0.0844356,0.4737340,5.6848081,0.0833333
static,2,8,0.0774004,0.5167935,6.2015218,0.0833333
static,2,64,0.0696220,0.5745314,6.8943774,0.0833333
static,2,64,0.0688992,0.5805579,6.9666947,0.0833333
static,2,64,0.0678096,0.5898870,7.0786441,0.0833333
static,2,64,0.0675935,0.5917726,7.1012714,0.0833333
static,2,64,0.0677872,0.5900815,7.0809781,0.0833333
static,2,64,0.0675675,0.5920010,7.1040121,0.0833333
static,2,64,0.0676606,0.5911861,7.0942337,0.0833333
static,2,64,0.0678785,0.5892881,7.0714570,0.0833333
static,2,64,0.0670906,0.5962086,7.1545028,0.0833333
static,2,64,0.0676624,0.5911699,7.0940384,0.0833333
static,2,64,0.0674967,0.5926218,7.1114617,0.0833333
static,2,64,0.0674222,0.5932767,7.1193203,0.0833333
static,2,256,0.0681356,0.5870650,7.0447796,0.0833333
static,2,256,0.0672787,0.5945414,7.1344972,0.0833333
static,2,256,0.0672713,0.5946073,7.1352873,0.0833333
static,2,256,0.0673216,0.5941631,7.1299571,0.0833333
static,2,256,0.0672769,0.5945579,7.1346947,0.0833333
static,2,256,0.0671465,0.5957124,7.1485489,0.0833333
static,2,256,0.0671521,0.5956628,7.1479540,0.0833333
static,2,256,0.0759773,0.5264731,6.3176768,0.0833333
static,2,256,0.0669733,0.5972532,7.1670385,0.0833333
static,2,256,0.0670627,0.5964570,7.1574836,0.0833333
static,2,256,0.0670366,0.5966890,7.1602678,0.0833333
static,2,256,0.0669807,0.5971868,7.1662413,0.0833333
static,2,512,0.0669155,0.5977686,7.1732230,0.0833333
static,2,512,0.0664387,0.6020588,7.2247060,0.0833333
static,2,512,0.0660531,0.6055732,7.2668783,0.0833333
static,2,512,0.0661202,0.6049591,7.2595086,0.0833333
static,2,512,0.0660494,0.6056073,7.2672881,0.0833333
static,2,512,0.0661854,0.6043632,7.2523580,0.0833333
static,2,512,0.0659972,0.6060859,7.2730311,0.0833333
static,2,512,0.0659134,0.6068567,7.2822799,0.0833333
static,2,512,0.0660513,0.6055903,7.2670832,0.0833333
static,2,512,0.0660978,0.6051636,7.2619635,0.0833333
static,2,512,0.0661407,0.6047716,7.2572598,0.0833333
static,2,512,0.0661500,0.6046865,7.2562380,0.0833333
static,4,1,0.0830460,0.4816606,5.7799268,0.0833333
static,4,1,0.0800621,0.4996123,5.9953479,0.0833333
static,4,1,0.0801664,0.4989623,5.9875471,0.0833333
static,4,1,0.0786502,0.5085811,6.1029731,0.0833333
static,4,1,0.0788309,0.5074154,6.0889853,0.0833333
static,4,1,0.0798516,0.5009292,6.0111509,0.0833333
static,4,1,0.0791587,0.5053140,6.0637686,0.0833333
static,4,1,0.0795070,0.5031003,6.0372036,0.0833333
static,4,1,0.1282282,0.3119438,3.7433258,0.0833333
static,4,1,0.0797044,0.5018540,6.0222486,0.0833333
static,4,1,0.0802502,0.4984411,5.9812932,0.0833333
static,4,1,0.0798553,0.5009059,6.0108704,0.0833333
static,4,8,0.0486467,0.8222551,9.8670612,0.0833333
static,4,8,0.0530556,0.7539263,9.0471155,0.0833333
static,4,8,0.0465810,0.8587187,10.3046240,0.0833333
static,4,8,0.0436381,0.9166312,10.9995748,0.0833333
static,4,8,0.0442527,0.9038992,10.8467900,0.0833333
static,4,8,0.0443682,0.9015465,10.8185574,0.0833333
static,4,8,0.0525806,0.7607367,9.1288405,0.0833333
static,4,8,0.0453591,0.8818510,10.5822125,0.0833333
static,4,8,0.0448730,0.8914049,10.6968593,0.0833333
static,4,8,0.0432748,0.9243247,11.0918968,0.0833333
static,4,8,0.0450294,0.8883076,10.6596913,0.0833333
static,4,8,0.0429731,0.9308152,11.1697819,0.0833333
static,4,64,0.0410173,0.9751981,11.7023767,0.0833333
static,4,64,0.0387710,1.0317000,12.3804006,0.0833333
static,4,64,0.0375994,1.0638480,12.7661764,0.0833333
static,4,64,0.0471082,0.8491098,10.1893179,0.0833333
static,4,64,0.0373814,1.0700502,12.8406018,0.0833333
static,4,64,0.0377391,1.0599100,12.7189200,0.0833333
static,4,64,0.0464562,0.8610255,10.3323058,0.0833333
static,4,64,0.0375267,1.0659074,12.7908889,0.0833333
static,4,64,0.0377782,1.0588126,12.7057508,0.0833333
static,4,64,0.0375975,1.0639007,12.7668089,0.0833333
static,4,64,0.0375509,1.0652201,12.7826408,0.0833333
static,4,64,0.0371225,1.0775131,12.9301574,0.0833333
static,4,256,0.0376552,1.0622693,12.7472318,0.0833333
static,4,256,0.0366829,1.0904253,13.0851040,0.0833333
static,4,256,0.0374261,1.0687720,12.8252644,0.0833333
static,4,256,0.0364948,1.0960464,13.1525564,0.0833333
static,4,256,0.0359565,1.1124553,13.3494632,0.0833333
static,4,256,0.0358187,1.1167362,13.4008340,0.0833333
static,4,256,0.0355672,1.1246314,13.4955767,0.0833333
static,4,256,0.0358149,1.1168523,13.4022279,0.0833333
static,4,256,0.0365358,1.0948171,13.1378046,0.0833333
static,4,256,0.0367649,1.0879946,13.0559346,0.0833333
static,4,256,0.0367947,1.0871133,13.0453598,0.0833333
static,4,256,0.0450984,0.8869501,10.6434015,0.0833333
static,4,512,0.0365544,1.0942592,13.1311102,0.0833333
static,4,512,0.0364743,1.0966621,13.1599447,0.0833333
static,4,512,0.0362583,1.1031972,13.2383663,0.0833333
static,4,512,0.0355281,1.1258696,13.5104350,0.0833333
static,4,512,0.0362210,1.1043318,13.2519818,0.0833333
static,4,512,0.0361279,1.1071786,13.2861434,0.0833333
static,4,512,0.0352617,1.1343741,13.6124894,0.0833333
static,4,512,0.0352859,1.1335957,13.6031481,0.0833333
static,4,512,0.0435766,0.9179242,11.0150903,0.0833333
static,4,512,0.0357646,1.1184228,13.4210738,0.0833333
static,4,512,0.0361893,1.1052981,13.2635770,0.0833333
static,4,512,0.0351891,1.1367159,13.6405906,0.0833333
static,8,1,0.0591669,0.6760534,8.1126409,0.0833333
static,8,1,0.0843089,0.4744457,5.6933486,0.0833333
static,8,1,0.0540446,0.7401288,8.8815453,0.0833333
static,8,1,0.0557434,0.7175740,8.6108878,0.0833333
static,8,1,0.0542458,0.7373841,8.8486089,0.0833333
static,8,1,0.0565350,0.7075262,8.4903149,0.0833333
static,8,1,0.0610910,0.6547605,7.8571266,0.0833333
static,8,1,0.0565797,0.7069672,8.4836067,0.0833333
static,8,1,0.0556353,0.7189674,8.6276085,0.0833333
static,8,1,0.0550300,0.7268764,8.7225168,0.0833333
static,8,1,0.0587236,0.6811570,8.1738839,0.0833333
static,8,1,0.0570603,0.7010131,8.4121577,0.0833333
static,8,8,0.0333730,1.1985732,14.3828787,0.0833333
static,8,8,0.0471398,0.8485395,10.1824734,0.0833333
static,8,8,0.0326224,1.2261526,14.7138311,0.0833333
static,8,8,0.0300203,1.3324339,15.9892063,0.0833333
static,8,8,0.0309628,1.2918749,15.5024988,0.0833333
static,8,8,0.0325739,1.2279756,14.7357066,0.0833333
static,8,8,0.0311546,1.2839194,15.4070332,0.0833333
static,8,8,0.0307374,1.3013475,15.6161700,0.0833333
static,8,8,0.0302810,1.3209594,15.8515124,0.0833333
static,8,8,0.0305064,1.3112002,15.7344021,0.0833333
static,8,8,0.0297483,1.3446144,16.1353727,0.0833333
static,8,8,0.0298098,1.3418418,16.1021018,0.0833333
static,8,64,0.0231117,1.7307251,20.7687007,0.0833333
static,8,64,0.0394899,1.0129162,12.1549945,0.0833333
static,8,64,0.0228100,1.7536205,21.0434458,0.0833333
