schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,47098205,103906317,137336,16743
static,2,8,41091345,94910459,120028,7717
static,2,64,40917184,93788746,92847,10292
static,2,256,39748694,93671861,64022,10339
static,2,512,39575008,93652379,59760,6125
static,4,1,47477662,103977313,227418,2742
static,4,8,41915285,94991840,176644,2086
static,4,64,40969095,93863408,97154,3226
static,4,256,41095254,93762418,73796,3257
static,4,512,40646185,93738827,66340,1903
static,8,1,55207790,104219648,415885,3111
static,8,8,47492585,95215448,224559,1790
static,8,64,46124954,94108194,99707,2994
static,8,256,45046747,93953330,83969,3050
static,8,512,45937961,93985284,72313,518
static,16,1,105291385,105441310,740042,162710
static,16,8,70161678,96062364,159320,24567
static,16,64,66838941,94972224,108625,16184
static,16,256,63068690,94715157,93002,10628
static,16,512,64307254,94777443,82750,8432
static,32,1,198288163,107993441,806918,253700
static,32,8,141718120,98444216,205563,37638
static,32,64,134009718,97678187,136974,27214
static,32,256,116888683,96760252,116882,25311
static,32,512,116482917,96671106,112625,23062
dynamic,2,1,88630217,99090558,645853,482
dynamic,2,8,46199808,94312513,190777,4254
dynamic,2,64,40499074,93714772,101304,4840
dynamic,2,256,39743977,93656492,74848,6438
dynamic,2,512,39847354,93645084,68896,8566
dynamic,4,1,141229964,99151015,849011,6852
dynamic,4,8,52311191,94391873,310772,4423
dynamic,4,64,41742449,93806962,135165,1635
dynamic,4,256,41188321,93750596,106451,1552
dynamic,4,512,40906091,93724047,91073,1397
dynamic,8,1,247894142,99374741,1015216,3271
dynamic,8,8,69823821,94618279,364646,6855
dynamic,8,64,46516924,94020725,153531,3104
dynamic,8,256,44844077,93919204,128936,1608
dynamic,8,512,45875142,93967808,119449,2456
dynamic,16,1,650813809,100034622,1164567,328310
dynamic,16,8,143417257,95316781,335867,74479
dynamic,16,64,68795672,94678904,208638,31402
dynamic,16,256,64049434,94656044,175775,24764
dynamic,16,512,66361155,94770007,164302,24842
dynamic,32,1,1358224398,102429850,1152883,346237
dynamic,32,8,291418853,97416059,368658,86695
dynamic,32,64,132471099,96649900,276863,57001
dynamic,32,256,121113565,96771924,228213,50581
dynamic,32,512,147769627,98081206,205066,51561
guided,2,1,39309359,93643698,54298,1642
guided,2,8,39242695,93636540,52474,3203
guided,2,64,39619637,93638275,49551,4594
guided,2,256,39348815,93633522,51961,4386
guided,2,512,39114761,93630797,51490,2443
guided,4,1,40683764,93731131,87487,2970
guided,4,8,41217246,93739979,92087,4577
guided,4,64,40423601,93719419,91013,1936
guided,4,256,40833418,93735337,88898,1993
guided,4,512,40986862,93733146,85377,2068
guided,8,1,47264051,94010175,133443,4535
guided,8,8,46101235,93979866,133799,2442
guided,8,64,45605840,93973279,132026,893
guided,8,256,45448145,93966073,121486,340
guided,8,512,45865197,93960876,121566,3635
guided,16,1,77835672,94777877,202765,30537
guided,16,8,73185596,94766265,200055,29672
guided,16,64,70709549,94816863,184598,36322
guided,16,256,65644365,94763567,165352,17177
guided,16,512,66550878,94824672,162032,23629
guided,32,1,197888561,97185580,306749,78933
guided,32,8,182612132,97406737,288852,68569
guided,32,64,145260951,96795936,263973,59658
guided,32,256,140422778,97232867,230711,54910
guided,32,512,121486864,96763420,208520,50138
