time_ms,gflops,bandwidth_gbs,ai
0.1296240,0.3085848,3.7030180,0.0833333
0.1296200,0.3085944,3.7031322,0.0833333
0.1293460,0.3092481,3.7109768,0.0833333
0.1292660,0.3094395,3.7132734,0.0833333
0.1292240,0.3095400,3.7144803,0.0833333
0.1292130,0.3095664,3.7147965,0.0833333
0.1336950,0.2991885,3.5902614,0.0833333
0.1091250,0.3665521,4.3986254,0.0833333
0.0978660,0.4087221,4.9046656,0.0833333
0.0979820,0.4082382,4.8988590,0.0833333
0.0979220,0.4084884,4.9018607,0.0833333
0.0979170,0.4085092,4.9021110,0.0833333
