schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,7862988,8853555,47243,15964
static,2,8,5806501,7871728,40416,7476
static,2,64,5003226,7750087,35313,736
static,2,256,6803832,7748460,31582,10239
static,2,512,5795310,7746650,33195,10418
static,4,1,7922182,8912782,66222,8273
static,4,8,6685718,7926276,54286,5442
static,4,64,6484670,7820914,38930,4795
static,4,256,6361196,7814927,35629,1421
static,4,512,6466197,7815351,37154,2408
static,8,1,13230081,9129617,110313,2650
static,8,8,10793792,8129755,67719,4756
static,8,64,10300117,8015308,47697,1699
static,8,256,10466808,8015730,44571,2127
static,8,512,11367798,8064986,42668,1387
static,16,1,32370898,9713423,169350,40222
static,16,8,26809989,8774605,84364,15926
static,16,64,26199662,8680321,64251,12693
static,16,256,24653059,8629863,58587,6464
static,16,512,25549781,8650205,55834,10729
static,32,1,87760597,11507783,216913,75602
static,32,8,70831761,10348943,118133,30132
static,32,64,79910131,10720434,91746,17535
static,32,256,82139202,10935808,87515,16165
static,32,512,72961789,10453320,86253,25707
dynamic,2,1,10595895,8325151,107264,4174
dynamic,2,8,5768765,7814602,48669,4234
dynamic,2,64,5182337,7747117,38654,3617
dynamic,2,256,5263017,7734397,32835,5881
dynamic,2,512,5252730,7743903,32154,2389
dynamic,4,1,12854808,8386218,138920,460
dynamic,4,8,7361951,7878639,63265,3392
dynamic,4,64,6367763,7811488,43621,4069
dynamic,4,256,6068385,7794660,40940,2278
dynamic,4,512,6307485,7808054,38855,1346
dynamic,8,1,24024369,8562256,157764,807
dynamic,8,8,11870614,8081300,74058,1583
dynamic,8,64,10637544,8021787,52295,3125
dynamic,8,256,10379830,8006088,48855,4127
dynamic,8,512,10228961,8007735,48980,1636
dynamic,16,1,63599313,9243415,185345,46455
dynamic,16,8,30038282,8674297,95894,18704
dynamic,16,64,23483357,8522178,72827,8759
dynamic,16,256,24926584,8614271,63432,8628
dynamic,16,512,25343728,8648832,61832,5884
dynamic,32,1,165030656,11716032,223516,72384
dynamic,32,8,74827350,10321682,129605,36350
dynamic,32,64,70756115,10348316,97625,21256
dynamic,32,256,69732434,10362339,90243,20072
dynamic,32,512,65194390,10215868,90602,17834
guided,2,1,5163661,7751432,34804,1921
guided,2,8,4884856,7739953,32833,629
guided,2,64,5043399,7745460,32509,1509
guided,2,256,5352869,7747527,33656,4190
guided,2,512,4835724,7734351,32118,256
guided,4,1,7329505,7839414,45065,6658
guided,4,8,6423827,7822383,44118,1925
guided,4,64,6962499,7828718,42293,7885
guided,4,256,6585560,7823027,40684,3903
guided,4,512,6790597,7815865,39368,3411
guided,8,1,12979817,8091146,66847,5044
guided,8,8,11288999,8018295,61898,5609
guided,8,64,10663790,8022037,55588,2362
guided,8,256,9787490,7985068,48946,1685
guided,8,512,10229562,7999604,49041,2599
guided,16,1,42158614,8827429,96575,23821
guided,16,8,34331068,8654455,92837,22537
guided,16,64,27682023,8612607,77237,15061
guided,16,256,26061788,8636352,67784,11160
guided,16,512,25024202,8623205,64194,7540
guided,32,1,128209697,10499266,166324,51794
guided,32,8,114750962,10746814,138929,37459
guided,32,64,73357179,10194423,108019,26264
guided,32,256,79402737,10719701,99604,25479
guided,32,512,71260062,10356019,96192,22259
