time_ms,gflops,bandwidth_gbs,ai
0.0228020,0.0942023,1.5072362,0.0625000
0.0223520,0.0960988,1.5375805,0.0625000
0.0225040,0.0954497,1.5271952,0.0625000
0.0226330,0.0949057,1.5184907,0.0625000
0.0223480,0.0961160,1.5378557,0.0625000
0.0223110,0.0962754,1.5404061,0.0625000
0.0223280,0.0962021,1.5392332,0.0625000
0.0223410,0.0961461,1.5383376,0.0625000
0.0223830,0.0959657,1.5354510,0.0625000
0.0223200,0.0962366,1.5397849,0.0625000
0.0223470,0.0961203,1.5379246,0.0625000
0.0222800,0.0964093,1.5425494,0.0625000
