schedule,threads,chunk,time_ms,gflops,bw_gbs,ai
static,2,1,0.0874195,0.7491919,7.6000871,0.0985768
static,2,1,0.0863299,0.7586481,7.6960146,0.0985768
static,2,1,0.0852849,0.7679434,7.7903092,0.0985768
static,2,1,0.0870023,0.7527848,7.6365344,0.0985768
static,2,1,0.0867750,0.7547561,7.6565326,0.0985768
static,2,1,0.0861026,0.7606504,7.7163260,0.0985768
static,2,1,0.0863634,0.7583536,7.6930269,0.0985768
static,2,1,0.0866093,0.7562008,7.6711877,0.0985768
static,2,1,0.0860430,0.7611773,7.7216714,0.0985768
static,2,1,0.0866801,0.7555833,7.6649236,0.0985768
static,2,1,0.0859201,0.7622664,7.7327195,0.0985768
static,2,1,0.0869371,0.7533493,7.6422609,0.0985768
static,2,8,0.0787452,0.8317207,8.4372903,0.0985768
static,2,8,0.0865087,0.7570800,7.6801069,0.0985768
static,2,8,0.0801273,0.8173747,8.2917589,0.0985768
static,2,8,0.0797901,0.8208283,8.3267943,0.0985768
static,2,8,0.0797957,0.8207709,8.3262112,0.0985768
static,2,8,0.0796672,0.8220950,8.3396434,0.0985768
static,2,8,0.0797398,0.8213460,8.3320459,0.0985768
static,2,8,0.0799056,0.8196420,8.3147599,0.0985768
static,2,8,0.0798292,0.8204261,8.3227142,0.0985768
static,2,8,0.0796802,0.8219604,8.3382787,0.0985768
static,2,8,0.0845604,0.7745236,7.8570617,0.0985768
static,2,8,0.0797678,0.8210583,8.3291275,0.0985768
static,2,64,0.0757966,0.8640755,8.7655097,0.0985768
static,2,64,0.0754278,0.8683004,8.8083686,0.0985768
static,2,64,0.0755712,0.8666525,8.7916515,0.0985768
static,2,64,0.0753123,0.8696318,8.8218754,0.0985768
static,2,64,0.0926591,0.7068272,7.1703230,0.0985768
static,2,64,0.0776201,0.8437758,8.5595816,0.0985768
static,2,64,0.0776909,0.8430070,8.5517834,0.0985768
static,2,64,0.0775494,0.8445459,8.5673941,0.0985768
static,2,64,0.0775941,0.8440593,8.5624583,0.0985768
static,2,64,0.0775792,0.8442215,8.5641029,0.0985768
static,2,64,0.0776947,0.8429666,8.5513734,0.0985768
static,2,64,0.0776034,0.8439580,8.5614307,0.0985768
static,2,256,0.0791233,0.8277460,8.3969699,0.0985768
static,2,256,0.0816230,0.8023966,8.1398162,0.0985768
static,2,256,0.0815168,0.8034417,8.1504178,0.0985768
static,2,256,0.0813343,0.8052449,8.1687099,0.0985768
static,2,256,0.0813622,0.8049684,8.1659048,0.0985768
static,2,256,0.0815056,0.8035519,8.1515354,0.0985768
static,2,256,0.0814870,0.8037356,8.1533987,0.0985768
static,2,256,0.0813883,0.8047105,8.1632884,0.0985768
static,2,256,0.0814106,0.8044895,8.1610471,0.0985768
static,2,256,0.0814218,0.8043791,8.1599269,0.0985768
static,2,256,0.0815000,0.8036070,8.1520943,0.0985768
static,2,256,0.0812747,0.8058354,8.1747006,0.0985768
static,2,512,0.0730325,0.8967794,9.0972707,0.0985768
static,2,512,0.0777896,0.8419372,8.5409306,0.0985768
static,2,512,0.0774451,0.8456834,8.5789332,0.0985768
static,2,512,0.0772644,0.8476609,8.5989944,0.0985768
static,2,512,0.0809766,0.8088012,8.2047865,0.0985768
