schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,77619845,160850478,85361,16828
static,2,8,76999448,159788915,65627,11340
static,2,64,75417107,159659156,55097,2200
static,2,256,75995717,159656998,52815,10508
static,2,512,76067196,159652209,52052,8233
static,4,1,78226214,160940232,127413,1863
static,4,8,76928162,159862647,88869,3072
static,4,64,77371508,159754636,72347,6998
static,4,256,78019899,159772875,58579,6714
static,4,512,80947673,159920205,56696,1804
static,8,1,82530201,161111659,156080,3711
static,8,8,82384447,160081546,141385,4513
static,8,64,82400719,160021205,81254,1682
static,8,256,85821238,160164794,67858,1485
static,8,512,95486733,160613319,65644,4386
static,16,1,108501641,162101970,216176,23685
static,16,8,105689927,160991999,162463,25103
static,16,64,101291888,160769795,89124,16891
static,16,256,110879275,161265933,78751,6847
static,16,512,130875510,162164997,82017,8255
static,32,1,254642764,167502889,299461,106139
static,32,8,158684173,162669854,216015,67739
static,32,64,156349873,162779050,119900,26813
static,32,256,186645423,164331741,110810,18576
static,32,512,212461138,165567698,103774,14842
dynamic,2,1,79133404,160274267,142683,3669
dynamic,2,8,76222920,159714296,86080,4351
dynamic,2,64,75342097,159642414,64851,4557
dynamic,2,256,76857123,159653683,58740,3213
dynamic,2,512,75536011,159644934,63446,3436
dynamic,4,1,82427684,160337490,199978,2601
dynamic,4,8,77813162,159815901,133975,6574
dynamic,4,64,77460431,159745150,91064,6657
dynamic,4,256,77699587,159761934,89990,3943
dynamic,4,512,80923855,159921580,85251,1383
dynamic,8,1,94052912,160531252,251953,5383
dynamic,8,8,82928184,160039133,187030,6708
dynamic,8,64,82047781,159978216,129475,3585
dynamic,8,256,85474441,160146797,124522,4151
dynamic,8,512,95803508,160640488,118709,1601
dynamic,16,1,141810003,161263784,311666,53731
dynamic,16,8,107624630,160812875,261771,50880
dynamic,16,64,101640179,160770538,167699,20629
dynamic,16,256,113535659,161376601,158802,16637
dynamic,16,512,132744808,162260669,157550,18230
dynamic,32,1,247987696,163375311,407293,89948
dynamic,32,8,178221176,163179833,328868,91158
dynamic,32,64,172241115,163531209,207857,41149
dynamic,32,256,188796642,164376773,199868,32819
dynamic,32,512,236873522,166703849,195754,34412
guided,2,1,75477090,159645400,56433,6519
guided,2,8,75379941,159640485,57388,3721
guided,2,64,75231245,159639144,57004,2052
guided,2,256,75279852,159635828,57783,4181
guided,2,512,75288537,159635257,57815,3051
guided,4,1,76790270,159740542,98675,2228
guided,4,8,76841829,159743729,92463,2581
guided,4,64,76708908,159724121,82732,4904
guided,4,256,77318759,159756633,84495,2754
guided,4,512,81063657,159929537,92303,1655
guided,8,1,82841464,160007594,151735,4453
guided,8,8,81472147,159958947,142628,2556
guided,8,64,81232613,159951262,122276,1471
guided,8,256,85592692,160155426,120093,2271
guided,8,512,96087906,160621296,118695,5791
guided,16,1,107024438,160751568,204154,22032
guided,16,8,103543635,160686478,208375,27862
guided,16,64,103341708,160794288,167877,30407
guided,16,256,121280778,161714125,160663,19018
guided,16,512,133493944,162278714,172467,18554
guided,32,1,217426380,163005683,304973,74241
guided,32,8,192171148,162799978,275720,66628
guided,32,64,161625225,162683283,236840,50950
guided,32,256,206323910,165141223,197972,36345
guided,32,512,232001630,166438281,214517,39049
