time_ms,gflops,bandwidth_gbs,ai
0.1107700,0.5912612,4.9008215,0.1206453
0.1043670,0.6275355,5.2014909,0.1206453
0.1040760,0.6292901,5.2160344,0.1206453
0.1040110,0.6296834,5.2192941,0.1206453
0.1038940,0.6303925,5.2251718,0.1206453
0.1039590,0.6299984,5.2219048,0.1206453
0.1038780,0.6304896,5.2259766,0.1206453
0.1038760,0.6305018,5.2260772,0.1206453
0.1039550,0.6300226,5.2221057,0.1206453
0.1093600,0.5988844,4.9640088,0.1206453
0.1039070,0.6303136,5.2245181,0.1206453
0.1039760,0.6298954,5.2210510,0.1206453
