schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,5701924817,13718286456,41984320,17671291
static,2,8,5356710202,12819294089,41676667,16972723
static,2,64,5186821168,12706953894,33243689,16446623
static,2,256,5124437130,12694919967,27864087,15439096
static,2,512,5129745391,12692932009,26651306,15118640
static,4,1,6203166693,13720027542,79501406,16927759
static,4,8,5744457627,12821390870,63692080,16971302
static,4,64,5279226075,12709046925,36018050,16052572
static,4,256,5148699090,12697042947,27796181,15241870
static,4,512,5133995241,12695084210,27300279,15097043
static,8,1,7655823763,13724138584,148573221,16909087
static,8,8,6357189102,12825612231,72603012,16977811
static,8,64,5399196581,12713159491,35782107,16072198
static,8,256,5249951778,12701194083,29702556,15166754
static,8,512,5213240930,12698881689,23727607,15022385
static,16,1,9969818742,13733495178,206170271,37927584
static,16,8,7506507144,12855457036,52666275,17251043
static,16,64,5970292799,12735400024,34506869,14706682
static,16,256,5505904341,12711178607,29594269,13139785
static,16,512,5627476487,12709633991,27619655,12439593
static,32,1,13419103993,13810687976,222614465,36246578
static,32,8,8232290721,12879431980,42494908,12047077
static,32,64,6872403803,12769663466,35011543,11129200
static,32,256,5980981676,12733592228,29738842,8036578
static,32,512,5919621157,12729774832,25836078,7471207
dynamic,2,1,9728834109,13236946937,116356723,17016617
dynamic,2,8,5671520409,12759174078,49227940,16979248
dynamic,2,64,5225611216,12699448242,33140916,16465649
dynamic,2,256,5131079231,12693044159,28225911,15522554
dynamic,2,512,5094544461,12691944709,28564825,15363736
dynamic,4,1,13552332486,13238995344,144690422,16974726
dynamic,4,8,6398487254,12761239541,72333894,16974954
dynamic,4,64,5324322386,12701564408,37398763,15894082
dynamic,4,256,5161003450,12695160263,28106468,15204140
dynamic,4,512,5139881705,12694108343,26082167,14896097
dynamic,8,1,22110548707,13243228974,187960192,16980298
dynamic,8,8,7189995089,12765352081,80216122,16993339
dynamic,8,64,5473638570,12705592935,38845915,16045976
dynamic,8,256,5262079650,12699280632,30074292,15261414
dynamic,8,512,5268539918,12698108490,27394982,15071906
dynamic,16,1,65180206072,13256555460,248745401,71112003
dynamic,16,8,10469456668,12775223930,70457455,28793126
dynamic,16,64,6031836528,12714722417,38619041,19484288
dynamic,16,256,5740110870,12708399446,32292314,16923638
dynamic,16,512,5684686005,12707281431,30762717,16119885
dynamic,32,1,127389556085,13285562714,268800180,91168088
dynamic,32,8,15297849018,12795058168,50526516,22257342
dynamic,32,64,7390171063,12734126173,36028737,20151445
dynamic,32,256,6884531516,12727529780,33215539,17359023
dynamic,32,512,6707022376,12725749743,30186094,15750294
guided,2,1,5073375750,12690936295,27183332,15021019
guided,2,8,5062169651,12690876332,25125191,14936345
guided,2,64,5066533119,12690919597,25139460,14818109
guided,2,256,5070329945,12690922351,25159042,14814846
guided,2,512,5068191810,12690939860,25310858,14842958
guided,4,1,5111494894,12693010919,24436600,14716687
guided,4,8,5106689797,12692931340,24524229,14694799
guided,4,64,5138857251,12693022250,25385367,14847460
guided,4,256,5132809277,12692985351,24116539,14653465
guided,4,512,5109714594,12693008397,25200109,14949857
guided,8,1,5205789994,12697212169,24820943,14637501
guided,8,8,5202739150,12697117599,24167335,14516188
guided,8,64,5200512364,12697166727,24016480,14516585
guided,8,256,5196799981,12697085904,23772066,14453335
guided,8,512,5201731667,12697120966,25230083,14688010
guided,16,1,5573164797,12705889466,24562159,14357261
guided,16,8,5615171207,12706986731,25718071,14687303
guided,16,64,5614473560,12706400732,25332809,14785902
guided,16,256,5607242995,12706227666,25363752,14763576
guided,16,512,5616567616,12706640766,25498191,14829693
guided,32,1,6616027792,12726183510,26537560,13816920
guided,32,8,6593781112,12725971264,26396931,13883917
guided,32,64,6560424073,12726436243,25869353,13818679
guided,32,256,6548865898,12726332583,26638226,13494046
guided,32,512,6572712673,12727007221,26484815,13605702
