time_ms,gflops,bandwidth_gbs,ai
14.6843000,0.4083273,4.3562172,0.0937344
14.6241100,0.4100079,4.3741465,0.0937344
14.8738610,0.4031233,4.3006991,0.0937344
14.8965870,0.4025083,4.2941380,0.0937344
14.9642670,0.4006879,4.2747166,0.0937344
14.7033230,0.4077990,4.3505812,0.0937344
15.1022350,0.3970273,4.2356645,0.0937344
15.0520050,0.3983522,4.2497993,0.0937344
15.1927980,0.3946607,4.2104160,0.0937344
14.8627500,0.4034247,4.3039141,0.0937344
15.4579590,0.3878908,4.1381919,0.0937344
14.8146810,0.4047337,4.3178790,0.0937344
