schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,1258088281,2807660891,7449092,176779
static,2,8,1195983639,2712679001,5841293,150552
static,2,64,1185589719,2700843696,4852187,102568
static,2,256,1179883120,2699554015,4390665,112630
static,2,512,1178480095,2699345099,4259008,97524
static,4,1,1288309647,2808235330,11719381,347434
static,4,8,1216014999,2713050020,8391907,152770
static,4,64,1195249609,2701281313,5232262,92124
static,4,256,1189664706,2699996308,4349455,71412
static,4,512,1188608446,2699767642,4257222,72830
static,8,1,1364249651,2808828962,19186820,219223
static,8,8,1243692530,2713783639,9295199,129342
static,8,64,1214756499,2702101526,5101546,67225
static,8,256,1240682241,2701078178,4171059,49062
static,8,512,1207590377,2700800760,3849134,68203
static,16,1,1473254509,2811586471,22697069,1397249
static,16,8,1310225930,2716181258,6678855,231837
static,16,64,1261459292,2704342509,3233478,170252
static,16,256,1251927843,2702958718,2376954,125196
static,16,512,1258904158,2703159413,1666998,121500
static,32,1,1675003957,2817182340,18787311,1738108
static,32,8,1442262689,2722012921,3175705,244908
static,32,64,1370928757,2708975630,2249001,200411
static,32,256,1353001169,2707188361,1989787,180972
static,32,512,1354730084,2707185209,1855032,168503
dynamic,2,1,1634817473,2756819109,13708594,268708
dynamic,2,8,1228727821,2706312294,7291976,136719
dynamic,2,64,1187932586,2700009322,5073716,103186
dynamic,2,256,1180632011,2699325547,4426910,82940
dynamic,2,512,1180313849,2699212181,4621518,81231
dynamic,4,1,2016416291,2757118525,18175253,141066
dynamic,4,8,1284798777,2706678021,9648123,143787
dynamic,4,64,1195793833,2700336701,5457634,89254
dynamic,4,256,1187705127,2699686012,4541805,65410
dynamic,4,512,1187973277,2699557830,4116307,62011
dynamic,8,1,3207879587,2757841440,24507659,162513
dynamic,8,8,1366741483,2707427917,10898367,142592
dynamic,8,64,1215700470,2701119790,5443751,81305
dynamic,8,256,1203316026,2700404318,4304387,57934
dynamic,8,512,1203105605,2700295926,4067688,55708
dynamic,16,1,8024339319,2759671264,28777802,4271024
dynamic,16,8,1824854674,2709220176,9594049,1018369
dynamic,16,64,1270320330,2702932126,5289292,466988
dynamic,16,256,1247827252,2702300571,4175171,349241
dynamic,16,512,1247983448,2702311320,4058442,388800
dynamic,32,1,15697979711,2764787616,27850779,4958858
dynamic,32,8,2414541495,2714372239,7159110,916487
dynamic,32,64,1433620605,2707729941,5152411,738427
dynamic,32,256,1361653265,2706630998,4364340,567360
dynamic,32,512,1377553863,2707389590,3970882,528357
guided,2,1,1188621622,2699721215,3991968,92887
guided,2,8,1189757194,2699720529,3980557,84168
guided,2,64,1190423719,2699725727,3976583,88680
guided,2,256,1189410276,2699733062,3987358,94879
guided,2,512,1188204519,2699708804,3978238,86180
guided,4,1,1219584709,2701225717,4021684,60001
guided,4,8,1219028166,2701226249,3830141,56159
guided,4,64,1221086497,2701250823,3824058,54204
guided,4,256,1219111593,2701206886,4011631,61860
guided,4,512,1219793694,2701247477,4007510,59959
guided,8,1,1266844805,2703474908,3749486,68408
guided,8,8,1268182132,2703522539,3941086,67848
guided,8,64,1266404115,2703451643,3809256,47364
guided,8,256,1267436977,2703472321,3727402,53485
guided,8,512,1269207180,2703536278,3844849,107725
guided,16,1,1312289416,2704898835,3808311,252958
guided,16,8,1307405060,2704971941,3727391,268136
guided,16,64,1311085066,2705281150,3735253,261453
guided,16,256,1312796113,2705500554,3393663,291792
guided,16,512,1315919890,2705568289,3641375,260457
guided,32,1,1443483129,2707439324,4017129,532794
guided,32,8,1446603765,2708368854,3909154,521723
guided,32,64,1435367946,2708949844,4068466,510319
guided,32,256,1444398925,2710402882,3847317,506385
guided,32,512,1437959582,2710311193,4018963,490060
