schedule,threads,chunk,time_ms,gflops,bw_gbs,ai
static,2,1,,,,
static,2,8,,,,
static,2,64,,,,
static,2,256,,,,
static,2,512,,,,
static,4,1,,,,
static,4,8,,,,
static,4,64,,,,
static,4,256,,,,
static,4,512,,,,
static,8,1,,,,
static,8,8,,,,
static,8,64,,,,
static,8,256,,,,
static,8,512,,,,
static,16,1,,,,
static,16,8,,,,
static,16,64,,,,
static,16,256,,,,
static,16,512,,,,
static,32,1,,,,
static,32,8,,,,
static,32,64,,,,
static,32,256,,,,
static,32,512,,,,
dynamic,2,1,,,,
dynamic,2,8,,,,
dynamic,2,64,,,,
dynamic,2,256,,,,
dynamic,2,512,,,,
dynamic,4,1,,,,
dynamic,4,8,,,,
dynamic,4,64,,,,
dynamic,4,256,,,,
dynamic,4,512,,,,
dynamic,8,1,,,,
dynamic,8,8,,,,
dynamic,8,64,,,,
dynamic,8,256,,,,
dynamic,8,512,,,,
dynamic,16,1,,,,
dynamic,16,8,,,,
dynamic,16,64,,,,
dynamic,16,256,,,,
dynamic,16,512,,,,
dynamic,32,1,,,,
dynamic,32,8,,,,
dynamic,32,64,,,,
dynamic,32,256,,,,
dynamic,32,512,,,,
guided,2,1,,,,
guided,2,8,,,,
guided,2,64,,,,
guided,2,256,,,,
guided,2,512,,,,
guided,4,1,,,,
guided,4,8,,,,
guided,4,64,,,,
guided,4,256,,,,
guided,4,512,,,,
guided,8,1,,,,
guided,8,8,,,,
guided,8,64,,,,
guided,8,256,,,,
guided,8,512,,,,
guided,16,1,,,,
guided,16,8,,,,
guided,16,64,,,,
guided,16,256,,,,
guided,16,512,,,,
guided,32,1,,,,
guided,32,8,,,,
guided,32,64,,,,
guided,32,256,,,,
guided,32,512,,,,
