schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,1414869524,3102090617,5705288,181045
static,2,8,1406470025,3092396206,4060083,103207
static,2,64,1400841829,3091182303,4255847,119883
static,2,256,1399093025,3090989316,4204782,92576
static,2,512,1399042193,3090962852,4245747,95026
static,4,1,1426042059,3102423779,5831208,119691
static,4,8,1411320106,3092766786,4761835,109544
static,4,64,1411334913,3091711086,4146342,73777
static,4,256,1407050843,3091384715,4244154,81248
static,4,512,1420924338,3092025208,4083419,69786
static,8,1,1613843564,3111301053,6463047,211269
static,8,8,1429106320,3093623342,4307616,116292
static,8,64,1431298469,3092638137,3172630,100626
static,8,256,1435624684,3092778411,3576574,71130
static,8,512,1461121596,3093953218,3434910,74140
static,16,1,1489163359,3105143525,4507645,278183
static,16,8,1474431621,3095604861,2571564,193549
static,16,64,1491177633,3095434956,2271893,135251
static,16,256,1501641284,3095853560,2291634,135730
static,16,512,1562047592,3098629442,2621152,138688
static,32,1,1624688930,3110321358,2639716,455936
static,32,8,1571626516,3099802255,2382866,247434
static,32,64,1589138029,3099499285,2254856,197152
static,32,256,1651207309,3102407426,2160538,194789
static,32,512,1776314938,3108168544,2476616,211506
dynamic,2,1,1441519439,3096865643,6119573,127492
dynamic,2,8,1404866996,3091690155,4718889,123459
dynamic,2,64,1400405283,3091056198,4290644,90783
dynamic,2,256,1399279273,3090971192,4615326,88684
dynamic,2,512,1402430832,3091055736,4246337,168179
dynamic,4,1,1463942259,3097215169,6679960,118519
dynamic,4,8,1414685710,3092052372,4711153,103648
dynamic,4,64,1406079129,3091384223,3703341,78983
dynamic,4,256,1411227851,3091570099,4069351,73378
dynamic,4,512,1420516167,3091937041,4265105,88112
dynamic,8,1,1520114245,3097975004,6411100,128495
dynamic,8,8,1429417475,3092759168,4740381,79634
dynamic,8,64,1424960746,3092251781,4211619,82108
dynamic,8,256,1437973065,3092813687,4214808,70059
dynamic,8,512,1458115765,3093776749,4003044,64888
dynamic,16,1,1810340541,3099574767,6253574,560259
dynamic,16,8,1491366091,3094666983,4596377,385335
dynamic,16,64,1471881741,3094331701,4118197,295136
dynamic,16,256,1500120750,3095691090,3989226,270244
dynamic,16,512,1546363303,3097897065,3434516,263804
dynamic,32,1,2335815674,3103955495,6377324,780857
dynamic,32,8,1634925809,3099143703,4311371,627826
dynamic,32,64,1603966173,3099535348,4100061,539108
dynamic,32,256,1650018261,3102130846,4049013,449477
dynamic,32,512,1806556163,3109741566,3940762,438869
guided,2,1,1399794528,3090953451,4249980,121948
guided,2,8,1400467504,3090952363,4242394,100951
guided,2,64,1400709996,3090948602,4239151,128711
guided,2,256,1400045495,3090982453,4247557,103084
guided,2,512,1407083231,3091037011,4265095,94412
guided,4,1,1406372377,3091327525,4246302,102749
guided,4,8,1405709188,3091280162,4110802,77379
guided,4,64,1415191618,3091382803,4060070,70686
guided,4,256,1407153258,3091353987,4248905,70898
guided,4,512,1416899982,3091795872,4025211,77377
guided,8,1,1420890366,3092040861,4149055,66530
guided,8,8,1420667934,3092011588,4099091,73553
guided,8,64,1424211103,3092153833,4125736,79486
guided,8,256,1438687367,3092880226,3415928,104620
guided,8,512,1448065107,3093330419,4010067,74671
guided,16,1,1472270368,3094090936,4036761,312064
guided,16,8,1466341396,3094039891,4212658,257247
guided,16,64,1468159431,3094133051,3958233,255606
guided,16,256,1493231992,3095259703,4174920,251995
guided,16,512,1544066329,3097650248,4000004,272930
guided,32,1,1613279195,3098345503,3843668,492606
guided,32,8,1597585690,3098666710,4067178,484697
guided,32,64,1603931093,3099358928,4133556,453296
guided,32,256,1664714049,3102598645,3552911,427090
guided,32,512,1776542882,3108083603,4054946,454119
