time_ms,gflops,bandwidth_gbs,ai
1.8466860,0.6718121,5.4684857,0.1228516
1.9060420,0.6508912,5.2981918,0.1228516
1.8665880,0.6646491,5.4101794,0.1228516
1.8845190,0.6583250,5.3587021,0.1228516
1.8173040,0.6826739,5.5568997,0.1228516
1.7420980,0.7121448,5.7967898,0.1228516
1.7416680,0.7123206,5.7982210,0.1228516
1.7390650,0.7133868,5.8068997,0.1228516
1.7417880,0.7122715,5.7978215,0.1228516
1.8996740,0.6530731,5.3159521,0.1228516
1.8982710,0.6535558,5.3198811,0.1228516
1.8972250,0.6539161,5.3228141,0.1228516
