schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,30086481983,67141654358,195145523,83578347
static,2,8,29323916187,66186954651,169323831,83265904
static,2,64,28939593214,66069734111,144358329,82403567
static,2,256,28932462343,66055038190,146870760,82008274
static,2,512,28881980966,66052802933,140343269,81970355
static,4,1,31707619229,67146002563,265443200,85177662
static,4,8,29533890032,66191314725,180278137,83253500
static,4,64,29078765403,66071989509,150065569,82406014
static,4,256,28932928751,66059245709,137061573,81740381
static,4,512,28912409874,66057181822,128805021,81829281
static,8,1,32631412695,67154718924,280652129,83818295
static,8,8,30135004408,66200082520,198662321,83259114
static,8,64,29345888797,66080753213,143465785,82982708
static,8,256,29129764518,66068166612,132794053,81520867
static,8,512,29115184818,66066043993,132758486,81523210
static,16,1,40476991648,67347492685,286619769,103030641
static,16,8,31817275014,66238790675,203705391,89439256
static,16,64,30825500353,66121124661,149644896,82140831
static,16,256,30489247200,66106386139,137197094,80983000
static,16,512,30475960934,66104462359,140413027,80881085
static,32,1,41364957426,67301366414,356043694,107780286
static,32,8,35593411918,66267105326,186926915,87518480
static,32,64,35078624028,66155800124,153513915,80662872
static,32,256,34868302176,66143571569,147583370,80342678
static,32,512,34943555839,66143451147,145932920,80382641
dynamic,2,1,34012201202,66630782306,252394584,83760897
dynamic,2,8,29707019580,66123078019,174354261,83325406
dynamic,2,64,28949295526,66059633622,150411178,82473403
dynamic,2,256,28857564632,66052859698,144955183,81877726
dynamic,2,512,28841805956,66051769673,142902649,82095031
dynamic,4,1,39495379472,66635273164,313282637,84437296
dynamic,4,8,30135814948,66127417726,191034404,83237380
dynamic,4,64,29123855241,66064011620,155629547,82169225
dynamic,4,256,28969568852,66057242257,132340240,81790237
dynamic,4,512,28914107862,66056175037,143697625,81530961
dynamic,8,1,48920792120,66643790113,346283097,83832180
dynamic,8,8,31049400902,66136203681,203675155,83314572
dynamic,8,64,29505805218,66072724633,150039634,82222829
dynamic,8,256,29163782220,66066064029,131799663,81964305
dynamic,8,512,29181198201,66065031765,128245916,81370502
dynamic,16,1,84098882845,66662330991,358929315,144555822
dynamic,16,8,35061784943,66154048265,219110553,102561466
dynamic,16,64,31497808545,66090514965,155199760,85568163
dynamic,16,256,31063090369,66084117244,142371780,83754357
dynamic,16,512,31003712784,66083473433,139559954,83015945
dynamic,32,1,145656095594,66701125036,411653985,166026750
dynamic,32,8,42662358657,66190104371,216766531,107548488
dynamic,32,64,36680587225,66126936270,157753531,87634908
dynamic,32,256,36375234491,66122116085,147998412,84851281
dynamic,32,512,36043656634,66122229775,143249413,83421058
guided,2,1,28793755588,66050588987,132896903,82090396
guided,2,8,28815675933,66050582421,120662622,83482422
guided,2,64,28801603679,66050580463,132843454,82147379
guided,2,256,28791587816,66050587988,132664686,82139493
guided,2,512,28798857294,66050632934,129696146,82695769
guided,4,1,28876595132,66054962809,131532122,81997928
guided,4,8,28879643364,66054924561,131480438,81988554
guided,4,64,28916985687,66054931511,133112633,82016484
guided,4,256,28886713777,66054999002,131629476,82218302
guided,4,512,28871870814,66055063918,137694601,81943713
guided,8,1,29098145035,66063760038,127391042,81866136
guided,8,8,29086211170,66063682893,132119232,82027733
guided,8,64,29080523834,66063714331,125274863,82090679
guided,8,256,29101352418,66063856541,129873139,81877279
guided,8,512,29079982671,66063886571,130102125,82035600
guided,16,1,30975346178,66081791044,135242801,82423626
guided,16,8,30774181083,66081599514,131112115,82274378
guided,16,64,30764924232,66081896476,133512107,82322677
guided,16,256,30784354207,66082114084,133494336,82332067
guided,16,512,30729884303,66082313329,131275632,82028517
guided,32,1,35681235340,66125026436,140255392,82135974
guided,32,8,36023758173,66128111293,138958182,82429503
guided,32,64,35746335244,66129244278,129875799,82900173
guided,32,256,35667330614,66127480213,134144270,82465188
guided,32,512,35818282373,66129342426,139125855,82225931
