time_ms,gflops,bandwidth_gbs,ai
47.0564890,0.6325817,5.4218872,0.1166719
47.0129890,0.6331670,5.4269040,0.1166719
47.0743450,0.6323417,5.4198306,0.1166719
47.0616060,0.6325129,5.4212977,0.1166719
47.0824950,0.6322323,5.4188924,0.1166719
47.0296200,0.6329431,5.4249848,0.1166719
47.0116520,0.6331850,5.4270583,0.1166719
46.9462760,0.6340667,5.4346159,0.1166719
46.9506090,0.6340082,5.4341143,0.1166719
46.9419860,0.6341247,5.4351125,0.1166719
46.9633290,0.6338365,5.4326425,0.1166719
46.9544340,0.6339566,5.4336716,0.1166719
