schedule,threads,chunk,cycles,instructions,cache_ref,cache_miss
static,2,1,13400417932,26670715405,54516107,24266821
static,2,8,12720000496,26573306126,35765137,23041522
static,2,64,12640864865,26561145663,39079769,22253796
static,2,256,12637031381,26560117645,40607105,22359757
static,2,512,12629893693,26559707910,41535467,22394112
static,4,1,13282830600,26673279976,62996262,24207876
static,4,8,12777885952,26575924012,42573689,23133676
static,4,64,12720374670,26563951711,39777534,22199449
static,4,256,12699036494,26562837304,37282696,21836401
static,4,512,12699074652,26562985559,37942854,21964411
static,8,1,13592440607,26678585122,58114099,24184224
static,8,8,12892626687,26581112798,43979935,22896993
static,8,64,12821458172,26569455838,39240689,21968161
static,8,256,12816681913,26568206243,37438076,21902639
static,8,512,12831922465,26569204171,38479551,21962487
static,16,1,14496910499,26702831763,60528747,25531931
static,16,8,13286859291,26594566217,46174943,20686186
static,16,64,13187166612,26583730527,39131190,19258417
static,16,256,13133253732,26581064154,36649962,18741455
static,16,512,13265977834,26587335374,36614449,18757473
static,32,1,15381547272,26728883981,69111592,23711502
static,32,8,14105206999,26623499082,46736777,16837957
static,32,64,13995478638,26611216090,39330291,14620709
static,32,256,13885864917,26606105072,37871893,13977538
static,32,512,14119438938,26618922908,33827570,14259219
dynamic,2,1,13221573695,26618549800,58217373,24187583
dynamic,2,8,12754921856,26566791022,43393563,23186601
dynamic,2,64,12647600607,26560308106,42497862,22536330
dynamic,2,256,12629808721,26559626758,38515665,22198092
dynamic,2,512,12631374157,26559513424,32526479,21929998
dynamic,4,1,13689815898,26621217096,67197729,24237229
dynamic,4,8,12808000848,26569375548,44667005,23001519
dynamic,4,64,12694790238,26562969664,38466215,21973460
dynamic,4,256,12680080332,26562294068,30910968,21495252
dynamic,4,512,12690191894,26562345367,39101812,22177009
dynamic,8,1,14203583175,26626375912,68180222,24200360
dynamic,8,8,12934159214,26574561662,45315661,22890310
dynamic,8,64,12812601361,26568184400,38602569,21872709
dynamic,8,256,12810901475,26567754182,36946673,21949549
dynamic,8,512,12810545346,26567789400,37958804,21936508
dynamic,16,1,17342097796,26638000963,68655151,33511612
dynamic,16,8,13544169953,26585665781,48150189,25521708
dynamic,16,64,13338190056,26579446452,39755724,22986613
dynamic,16,256,13320999911,26579506390,33109797,22739429
dynamic,16,512,13339249389,26580241497,37024697,22463652
dynamic,32,1,22734019650,26661148806,74745945,35267934
dynamic,32,8,15037176238,26607998945,49642758,25586634
dynamic,32,64,14656390102,26602516707,40323504,21974354
dynamic,32,256,14734413613,26603938409,39492477,21754911
dynamic,32,512,14731000085,26605464798,38418914,21507751
guided,2,1,12637872509,26559399371,38375786,22313664
guided,2,8,12626204002,26559374555,38119293,22237839
guided,2,64,12625827169,26559321553,37938733,22675870
guided,2,256,12630053963,26559397836,38223224,22260162
guided,2,512,12647023960,26559452562,41128950,22536412
guided,4,1,12676947140,26562047165,36644470,22023800
guided,4,8,12682861007,26562089745,33126030,22394480
guided,4,64,12675206109,26562007427,31276943,21884631
guided,4,256,12684359062,26562197656,37124161,22123490
guided,4,512,12679450772,26562155767,36845541,22074679
guided,8,1,12792079436,26567295479,36167872,21851165
guided,8,8,12796753124,26567142857,38741173,22245946
guided,8,64,12791567055,26567236581,37803550,22151845
guided,8,256,12807919051,26567567963,36377485,22003763
guided,8,512,12802350188,26567713813,37448039,22101389
guided,16,1,13253343972,26578074966,36945801,21970933
guided,16,8,13247709976,26578640976,37236994,22090003
guided,16,64,13291040656,26578679202,37051546,22134830
guided,16,256,13238605472,26578819226,38486976,21901417
guided,16,512,13297554456,26579896858,37732556,22318616
guided,32,1,14640906149,26600399710,38238379,21263652
guided,32,8,14683306904,26602169537,35294317,21535480
guided,32,64,14733724580,26602829184,38157215,21675282
guided,32,256,14684843196,26602012756,38076625,21531077
guided,32,512,14671699710,26605609749,38607534,21224381
